District,children_threats,missing_persons_threats,sll_crimes_threats,women_threats
Shahid Bhagat Singh Nagar,,,"['Information Technology Act', 'Immoral Traffic Prevention', 'Indecent Representation Of Women Prohibition']",
Shahjahanpur,,,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Sheikhpura,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Siwan,,,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Soreng,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Spsr Nellore,,,"['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'Prohibition Of Child Marriage']",
Tamulpur,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Child Labour Prohibition Regulation']",
Tirupathur,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Prohibition Of Child Marriage']",
Anakapalli,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Insult To The Modesty Of Women Above 18']"
Anand,,,,"['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Rape Women Above 18']"
Baghpat,,,,"['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Balrampur Ramanujganj,,,,"['Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Bara Banki,,,,"['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Beed,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Bijapur,,,,"['Kidnapping And Abduction', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Bishnupur,,,,"['Rape Women Above 18', 'Insult To The Modesty Of Women Above 18', 'Murder With Rape Gang Rape']"
Biswanath,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Chamoli,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Champawat,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Chhatrapati Sambhajinagar,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Insult To The Modesty Of Women Above 18']"
Churachandpur,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Murder With Rape Gang Rape', 'Rape Women Above 18']"
Cooch Behar,,,,"['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Attempt To Commit Rape Above 18']"
Darbhanga,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Girls Below 18']"
Dhubri,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Dibrugarh,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Dimapur,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Ferozepur,,,,"['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Rape Women Above 18']"
Gaurela Pendra Marwahi,,,,"['Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Ghaziabad,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Gomati,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Gondia,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Guntur,,,,"['Cruelty By Husband Or His Relatives', 'Insult To The Modesty Of Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Hailakandi,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Jaisalmer,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Jajapur,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Kandhamal,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Kanniyakumari,,,,"['Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Kargil,,,,"['Kidnapping And Abduction', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Below 18']"
Kasaragod,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Insult To The Modesty Of Women Below 18']"
Khargone (West Nimar),,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Khawzawl,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Murder With Rape Gang Rape', 'Rape Women Above 18']"
Kurnool,,,,"['Insult To The Modesty Of Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Lalitpur,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Attempt To Commit Rape Above 18']"
Lohit,,,,"['Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Mahrajganj,,,,"['Cruelty By Husband Or His Relatives', 'Dowry Deaths', 'Rape Girls Below 18']"
Malda,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Malerkotla,,,,"['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Malkangiri,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Mandya,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Mokokchung,,,,"['Rape Women Above 18', 'Murder With Rape Gang Rape', 'Insult To The Modesty Of Women Below 18']"
North 24 Parganas,,,,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Ntr,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Abetment To Suicide Of Women', 'Insult To The Modesty Of Women Above 18']"
Paschim Medinipur,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Purba Bardhaman,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Purba Medinipur,,,,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Rape Girls Below 18']"
Ramanathapuram,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Ranchi,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Selling Of Minor Girls', 'Rape Women Above 18']"
Saitual,,,,No major threats
Sambhal,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Girls Below 18']"
Sangli,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Sant Kabir Nagar,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Assault On Women With Intent To Outrage Her Modesty Below 18']"
Saran,,,,"['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Dowry Deaths']"
Sarangarh Bilaigarh,,,,"['Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Satara,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Singrauli,,,,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Rape Women Above 18']"
South 24 Parganas,,,,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
South East,,,,"['Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Surajpur,,,,"['Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Vaishali,,,,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Dowry Deaths']"
Varanasi,,,,"['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Visakhapatnam,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Vizianagaram,,,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Insult To The Modesty Of Women Above 18']"
Yadgir,,,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Abetment To Suicide Of Women']"
